video_id,title,publishedAt,views,likes,comments
yZyX5zhh1FM,"May (Spa Version): Relaxing Music & Water Sounds for Spa, Sleep & Relaxation",2025-08-18 13:39:36+00:00,80792,1169,107
QslbVeIsbXQ,"Midnight Calm: Relaxing Music & Water Sounds for Spa, Yoga, Sleep and Relaxation",2025-07-29 19:07:02+00:00,103711,1527,164
HZz1j70nXZA,"1 Hour of Peaceful Instrumental Music 🌳 Birds, Piano & Guitar for Relaxation, Focus, Study or Work",2025-07-01 08:23:42+00:00,128608,1795,212
3pgIPEBn8nU,"All Will Be Well: Beautiful Relaxing Music & Soft Ocean Waves | Focus, Work, Study, Sleep",2025-06-12 09:04:44+00:00,131476,1964,205
N_9oqpCo4a0,Welcome to Soothing Relaxation 💚 Home of Beautiful Music by Peder B. Helland & Stunning Nature,2025-05-08 09:23:34+00:00,53504,1297,74
ucLw57gGLh0,Who else would love to relax around this campfire right now? 💚  #relaxingmusic #campfire,2025-03-28 10:03:16+00:00,88166,1781,98
O2lmYoQnkKk,Peaceful Spa Radio 💦 Water Sounds & Relaxing Music 24/7,2024-11-11 15:40:20+00:00,1246063,13433,0
Kf19H6bloGM,Breathing Technique for Stress Relief (5-5-5-5),2024-09-20 09:54:18+00:00,130482,1618,36
n7QiJEINlWQ,Relaxing Music & Breathing Technique for Stress Relief (5-5-5-5),2024-09-18 15:50:20+00:00,68090,945,26
QCiW7hsBdkk,Box Breathing Exercise to Reduce Stress & Anxiety (4-4-4-4) #breathing,2024-09-17 08:44:59+00:00,74595,1209,19
ttT8pDfLlbE,"Soft Touch: Light Rain, Thunder Sounds & Relaxing Piano Music | Background Music",2024-09-11 15:33:31+00:00,396680,3912,338
0k7WZybBuXk,Welcome to Soothing Relaxation 💚 The Shore of Dreams,2024-09-05 06:28:39+00:00,60011,1275,38
QJ6C1bTiRYA,The Shore of Dreams: Relaxing Sleep Music for Deep Meditation & Relaxation,2024-08-09 08:05:35+00:00,313096,3276,204
K0WVA_PEjEI,Beautiful Piano Music & Ocean Waves ❤️ Listen to the full playlist on our channel,2024-08-02 07:30:19+00:00,87347,1802,61
kBLbhgMCIzU,"Beautiful & Emotional Piano Music with Relaxing Ocean Waves | Relax, Sleep, Focus",2024-06-14 16:47:14+00:00,671695,6845,478
0WjEP29WF5o,"Relaxing Zen Music with Nature Sounds for Meditation, Spa, Sleep & Relaxation",2024-03-05 15:04:06+00:00,1037439,17404,282
5W2yfO7DAMA,When you miss summer ☀️,2024-02-29 10:39:58+00:00,85439,1002,30
pZVabEt_WuA,Peder B. Helland - The Promise (Improvisation) | Soothing Sessions,2024-02-05 12:37:39+00:00,203338,2294,234
i9Yjozs750c,Sleep & Meditation Radio 🧘‍♂️Deep Ambient Music with Fireplace 24/7,2024-02-03 14:47:11+00:00,460519,4565,0
n8x6FvjmuWI,Those rainy days with relaxing music... #asmr #cozy #relaxingmusic #rain,2024-01-26 12:58:15+00:00,56463,1214,54
7kwvrEMO9pY,Take a break from infinite scrolling and get back to your tasks 💚,2024-01-23 12:43:27+00:00,111644,1126,48
oKTj0bfn0oc,Moonlight: Ethereal Ambient Music for Deep Sleep by Peder B. Helland with Nature Slideshow,2024-01-16 09:41:24+00:00,561648,5202,377
gTA7xW191QE,"Need to wind down after a long day? My new album ""Wonder"" is out now 😁 #music #composer",2023-12-19 11:06:00+00:00,73738,1286,34
t_LWdZCMvGo,Take a break with relaxing piano music & birds chirping 😴 #relaxingmusic #relaxingpianomusic,2023-09-15 07:51:52+00:00,79892,2180,219
9ZLOtLj-cGE,Peder B. Helland - Tomorrow (Improvisation) | Soothing Sessions,2023-09-11 14:59:17+00:00,134438,2503,285
xdpar6_svL8,Feedback on a new music composition idea? #composer,2023-07-14 15:58:41+00:00,60522,1269,96
0rKFHwWeXuI,The Ancient Tale: Relaxing Duduk Music & The Beautiful Caucasus Mountains,2023-07-12 11:18:32+00:00,290467,3573,439
8UijvdWQtmU,Beautiful & Relaxing Duduk Music in the Caucasus Mountains,2023-07-11 16:36:56+00:00,115611,2314,74
SBacM0ENACA,Quiet Woods: Relaxing Flute Music with Rain Sounds for Deep Sleep & Meditation,2023-06-15 05:34:58+00:00,553529,5530,446
gYbsqQuxobY,Good night from Soothing Relaxation 😴💚,2023-06-05 22:09:53+00:00,175423,4120,87
xOpWPxjBTJM,Coming soon on Soothing Relaxation 💚,2023-05-26 14:45:47+00:00,62794,1598,25
rHwbgFP2eFA,Your friend is improvising on the piano while you work,2023-05-05 13:29:42+00:00,210883,2579,259
fLeWES05gaU,Relaxing Fantasy Music by Peder B. Helland,2023-02-11 23:00:18+00:00,62475,1558,33
CNuoPYp2UjM,Dreaming: Ambient Sleep Music & Golden Moonlight,2023-02-11 19:40:00+00:00,75733,1302,39
rZbjS9YcThs,Rainy Day: Relaxing Piano Music & Soft Rain Sounds,2023-02-10 06:05:00+00:00,197644,6633,69
iFkwFkNXOcc,Welcome to Soothing Relaxation 💚 Have a Soothing Day! 😊,2023-02-09 10:15:33+00:00,54186,993,31
BG3Wthi7pQc,Our Future: Beautiful Relaxing Music by Peder B. Helland,2023-02-07 20:00:04+00:00,54536,1222,28
QjqRG-4EjlI,Sleep With Relaxing Piano Music by Peder B. Helland,2023-02-03 17:05:00+00:00,58375,1606,27
cQtj3xH-Sy0,Beautiful Relaxing Piano Music with Rain Sounds 😴 You & Me,2023-02-02 18:19:56+00:00,1928848,37512,449
gqUrgYRHG8s,"Peder B. Helland Makes Beautiful Relaxing Music Live, part 1",2023-02-01 09:53:57+00:00,63822,1825,153
SeuEw4LVOEI,"Relaxing Music Challenge with Peder B. Helland, part 1 | Flute + Creek",2023-01-31 14:46:40+00:00,58799,733,34
EL6PXEIV9KQ,Who's Ready For New Relaxing Music On Soothing Relaxation? 👀,2023-01-30 18:02:51+00:00,49699,1190,38
vLt7djQoNoE,"Relaxing Piano Music by Peder B. Helland: ""A New Day"" ❤",2023-01-26 12:11:31+00:00,42394,1200,26
3dsbgEtoAKw,Who Loves The Combination of Birds & Relaxing Music? #relaxingmusic,2023-01-25 17:26:08+00:00,28439,934,37
ejlQQrZYdKc,Relaxing Music with Piano & Flute 🥰😴 #relaxingmusic #soothingrelaxation #music #sleep,2023-01-22 17:05:05+00:00,65004,2110,41
BirAwHctifo,Relaxing Piano Music + Ocean Waves =  💙,2023-01-16 11:08:29+00:00,69666,2501,52
Xde_bBKcGhM,One of Peder B. Helland's most popular piano tracks,2022-12-09 11:18:58+00:00,98851,4313,143
cMa0a21KgH4,Merry Christmas from Soothing Relaxation! 🎅❤,2022-11-23 14:17:56+00:00,253644,9070,104
